City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Hambantota,LK,78.51,broken clouds,6.1241,81.1185,Bungalow 63
4,San Carlos De Bariloche,AR,62.35,clear sky,-41.1456,-71.3082,Hotel Patagonia
7,Vaini,TO,75.22,clear sky,-21.2,-175.2,Keleti Beach Resort
10,Maningrida,AU,79.93,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
13,Celestun,MX,79.29,few clouds,20.8667,-90.4,Posada Lilia
23,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
24,Castro,BR,64.35,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
25,Rikitea,PF,75.02,light rain,-23.1203,-134.9692,People ThankYou
26,Lithakia,GR,63.59,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
27,Inongo,CD,72.95,broken clouds,-1.95,18.2667,Hotel Du Lac
29,Umarkot,PK,76.42,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
30,Chuy,UY,69.15,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Veraval,IN,76.41,overcast clouds,20.9,70.3667,Lords Inn Somnath
33,Palu,ID,74.61,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
38,Matadi,CD,78.58,broken clouds,-5.8167,13.45,Hotel Vivi Palace
39,Mar Del Plata,AR,62.1,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
49,Brigantine,US,64.45,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
50,Souillac,MU,70.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
51,Cape Town,ZA,63.09,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
52,Yarmouth,US,63.14,overcast clouds,41.7057,-70.2286,Blue Rock Resort
60,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
61,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Punto de encuentro
62,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Jardim,BR,76.5,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
67,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Udaya Boys Hostel
71,Kasongo-Lunda,CD,70.97,overcast clouds,-6.4667,16.8167,
77,Faanui,PF,78.13,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
78,Wum,CM,65.23,light rain,6.3833,10.0667,Wum Council Hall
79,Bras-Panon,RE,71.22,broken clouds,-20.9967,55.6782,le meublé
80,Maragogi,BR,77.02,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
83,Ponta Do Sol,PT,72.72,scattered clouds,32.6667,-17.1,Hotel do Campo
85,Carmo Do Paranaiba,BR,71.44,overcast clouds,-19.0008,-46.3161,carmo do paranaiba
88,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
89,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
90,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
91,Arraial Do Cabo,BR,73.26,mist,-22.9661,-42.0278,Pousada Porto Praia
93,Pangkalanbuun,ID,74.28,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
95,Laguna,US,75.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
97,Airai,TL,61.43,scattered clouds,-8.9266,125.4092,Juvinal Martin
99,Ribeira Grande,PT,70.74,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
100,Saint-Philippe,RE,71.15,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
101,Port Alfred,ZA,64.94,broken clouds,-33.5906,26.891,The Halyards Hotel
102,Caravelas,BR,74.17,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
103,Tezu,IN,66.99,scattered clouds,27.9167,96.1667,Circuit House
106,Acari,PE,77.38,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
107,Ilhabela,BR,69.82,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
108,Padang,ID,77.36,heavy intensity rain,-0.9492,100.3543,Mercure Padang
112,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
115,Ca Mau,VN,76.17,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
116,Isangel,VU,79.07,clear sky,-19.55,169.2667,Tanna Lodge
118,Beloha,MG,67.55,scattered clouds,-25.1667,45.05,
120,Sao Filipe,CV,79.9,broken clouds,14.8961,-24.4956,Hotel Xaguate
121,Estelle,US,70.05,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
