City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Dikson,73.5069,80.5464,6.93,91,100,16.26,RU,2021-10-30 21:07:25,overcast clouds
1,Punta Arenas,-53.15,-70.9167,53.11,40,59,7.45,CL,2021-10-30 21:00:37,broken clouds
2,Hambantota,6.1241,81.1185,78.51,84,79,3.11,LK,2021-10-30 21:07:26,broken clouds
3,Ixtapa,20.7,-105.2,85.23,81,43,5.99,MX,2021-10-30 21:07:26,scattered clouds
4,San Carlos De Bariloche,-41.1456,-71.3082,62.35,14,0,17.27,AR,2021-10-30 21:04:19,clear sky
5,Pevek,69.7008,170.3133,-3.24,96,100,10.49,RU,2021-10-30 21:07:27,overcast clouds
6,Busselton,-33.65,115.3333,43.05,90,92,5.73,AU,2021-10-30 21:07:27,overcast clouds
7,Vaini,-21.2,-175.2,75.22,77,9,16.24,TO,2021-10-30 21:07:00,clear sky
8,Kodiak,57.79,-152.4072,47.71,81,90,34.52,US,2021-10-30 21:04:51,light rain
9,Saskylakh,71.9167,114.0833,9.75,93,100,11.63,RU,2021-10-30 21:07:29,overcast clouds
10,Maningrida,-12.0667,134.2667,79.93,76,97,4.74,AU,2021-10-30 21:07:29,overcast clouds
11,New Norfolk,-42.7826,147.0587,55.92,58,85,3.0,AU,2021-10-30 21:00:38,overcast clouds
12,Taguatinga,-12.3857,-46.5711,82.22,53,81,3.58,BR,2021-10-30 21:07:30,broken clouds
13,Celestun,20.8667,-90.4,79.29,53,22,10.47,MX,2021-10-30 21:07:30,few clouds
14,Hilo,19.7297,-155.09,80.33,73,1,8.05,US,2021-10-30 21:07:31,clear sky
15,Nanakuli,21.3906,-158.1547,85.37,51,20,4.61,US,2021-10-30 21:07:31,few clouds
16,Mataura,-46.1927,168.8643,57.43,57,100,12.01,NZ,2021-10-30 21:00:27,overcast clouds
17,Anloga,5.7947,0.8973,81.79,80,59,11.9,GH,2021-10-30 21:07:32,broken clouds
18,Raudeberg,61.9875,5.1352,51.87,61,100,10.0,NO,2021-10-30 21:07:32,light rain
19,Barrow,71.2906,-156.7887,17.62,79,90,0.0,US,2021-10-30 21:00:32,overcast clouds
20,Zhangjiakou,40.81,114.8794,39.4,62,8,7.96,CN,2021-10-30 21:07:33,clear sky
21,Ilulissat,69.2167,-51.1,37.42,65,20,16.11,GL,2021-10-30 21:07:33,few clouds
22,Hithadhoo,-0.6,73.0833,83.08,74,100,19.35,MV,2021-10-30 21:00:31,light rain
23,Bambous Virieux,-20.3428,57.7575,70.21,77,32,6.06,MU,2021-10-30 21:07:34,scattered clouds
24,Castro,-24.7911,-50.0119,64.35,90,82,10.18,BR,2021-10-30 21:07:34,broken clouds
25,Rikitea,-23.1203,-134.9692,75.02,85,73,21.88,PF,2021-10-30 21:00:33,light rain
26,Lithakia,37.7167,20.8333,63.59,63,11,7.76,GR,2021-10-30 21:07:35,few clouds
27,Inongo,-1.95,18.2667,72.95,85,51,3.6,CD,2021-10-30 21:07:35,broken clouds
28,Albany,42.6001,-73.9662,58.46,89,91,3.0,US,2021-10-30 21:07:35,overcast clouds
29,Umarkot,25.3616,69.7362,76.42,23,7,7.23,PK,2021-10-30 21:07:36,clear sky
30,Chuy,-33.6971,-53.4616,69.15,80,84,13.71,UY,2021-10-30 21:07:36,broken clouds
31,Boa Vista,2.8197,-60.6733,93.18,43,40,9.22,BR,2021-10-30 21:07:37,scattered clouds
32,Veraval,20.9,70.3667,76.41,44,93,9.69,IN,2021-10-30 21:07:37,overcast clouds
33,Palu,-0.8917,119.8707,74.61,96,100,2.04,ID,2021-10-30 21:07:38,overcast clouds
34,Bluff,-46.6,168.3333,52.92,85,93,22.17,NZ,2021-10-30 20:57:30,light rain
35,Kahului,20.8947,-156.47,85.26,63,20,12.66,US,2021-10-30 21:07:06,few clouds
36,Tigil,57.8,158.6667,26.87,97,100,4.29,RU,2021-10-30 21:07:39,light snow
37,Yellowknife,62.456,-114.3525,30.56,85,95,8.01,CA,2021-10-30 21:07:39,overcast clouds
38,Matadi,-5.8167,13.45,78.58,86,74,6.98,CD,2021-10-30 21:07:40,broken clouds
39,Mar Del Plata,-38.0023,-57.5575,62.1,82,75,3.0,AR,2021-10-30 21:07:41,broken clouds
40,Tuktoyaktuk,69.4541,-133.0374,16.95,89,77,8.72,CA,2021-10-30 21:03:16,broken clouds
