City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Novoagansk,RU,2021-10-18 23:22:19,61.9449,76.6625,38.25,91,97,8.68
1,Cayenne,GF,2021-10-18 23:22:19,4.9333,-52.3333,81.09,82,75,2.3
2,Alpinopolis,BR,2021-10-18 23:22:20,-20.8636,-46.3881,66.22,94,96,3.22
3,Mataura,NZ,2021-10-18 23:22:20,-46.1927,168.8643,44.96,80,100,6.91
4,Albany,US,2021-10-18 23:19:12,42.6001,-73.9662,47.17,77,50,1.99
5,Muros,ES,2021-10-18 23:22:21,42.7762,-9.0603,66.24,90,35,7.94
6,Cape Town,ZA,2021-10-18 23:20:37,-33.9258,18.4232,59.34,58,0,3.0
7,Hargeysa,SO,2021-10-18 23:22:22,9.56,44.065,71.31,35,82,7.76
8,Castro,BR,2021-10-18 23:22:22,-24.7911,-50.0119,55.62,98,100,7.18
9,Bluff,NZ,2021-10-18 23:18:16,-46.6,168.3333,49.5,47,95,24.74
10,Carnarvon,AU,2021-10-18 23:18:25,-24.8667,113.6333,64.47,94,75,27.63
11,Tasiilaq,GL,2021-10-18 23:17:58,65.6145,-37.6368,32.16,46,96,7.85
12,Petukhovo,RU,2021-10-18 23:22:24,55.0692,67.9019,47.86,54,98,10.16
13,Whitehorse,CA,2021-10-18 23:22:24,60.7161,-135.0538,35.02,50,90,13.0
14,Thompson,CA,2021-10-18 23:19:14,55.7435,-97.8558,42.96,75,75,11.5
15,Barrow,US,2021-10-18 23:22:25,71.2906,-156.7887,19.42,73,75,8.05
16,Ushuaia,AR,2021-10-18 23:22:25,-54.8,-68.3,44.26,61,40,24.16
17,Kapaa,US,2021-10-18 23:22:26,22.0752,-159.319,82.38,72,40,5.01
18,Emerald,AU,2021-10-18 23:22:26,-23.5333,148.1667,82.98,33,5,5.03
19,Upernavik,GL,2021-10-18 23:22:26,72.7868,-56.1549,28.74,47,100,5.66
20,Iwanai,JP,2021-10-18 23:22:27,42.9744,140.5089,46.45,79,90,6.98
21,Palmares Do Sul,BR,2021-10-18 23:22:28,-30.2578,-50.5097,58.68,80,9,7.14
22,Provideniya,RU,2021-10-18 23:22:28,64.3833,-173.3,28.51,74,90,15.66
23,Yellowknife,CA,2021-10-18 23:19:14,62.456,-114.3525,32.56,88,75,6.91
24,Shimoda,JP,2021-10-18 23:22:29,34.6667,138.95,57.56,90,100,16.13
25,Severo-Kurilsk,RU,2021-10-18 23:19:35,50.6789,156.125,38.35,77,88,19.62
26,Lorengau,PG,2021-10-18 23:20:39,-2.0226,147.2712,85.35,69,45,10.96
27,Jamestown,US,2021-10-18 23:22:30,42.097,-79.2353,53.19,67,1,3.0
28,Atbasar,KZ,2021-10-18 23:22:30,51.8,68.3333,44.35,55,94,6.87
29,Bethel,US,2021-10-18 23:19:07,41.3712,-73.414,52.05,76,20,5.75
30,Mount Isa,AU,2021-10-18 23:22:31,-20.7333,139.5,91.17,25,13,2.3
31,Nisia Floresta,BR,2021-10-18 23:22:31,-6.0911,-35.2086,79.18,82,74,8.46
32,Jamapa,MX,2021-10-18 23:22:32,19.0333,-96.2333,81.07,54,75,16.11
33,Minas Novas,BR,2021-10-18 23:22:32,-17.2186,-42.5903,74.23,73,75,5.19
34,Aklavik,CA,2021-10-18 23:22:32,68.2191,-135.0107,22.03,75,100,1.9
35,Inta,RU,2021-10-18 23:22:33,66.0317,60.1659,35.67,82,99,13.56
36,Lebu,CL,2021-10-18 23:22:34,-37.6167,-73.65,53.4,84,0,18.5
37,Ponta Do Sol,PT,2021-10-18 23:22:34,32.6667,-17.1,75.0,25,88,3.22
